gen,cells,spd_avg,spd_dev,vis_avg,vis_dev,len_avg,wid_avg,hgt_avg,asp_avg,asp_dev,spk_avg,spk_max,food,density,lineages,oldest,ph_emit_ch0_avg,ph_emit_ch1_avg,ph_emit_ch2_avg,ph_emit_ch0_dev,ph_emit_ch1_dev,ph_emit_ch2_dev,ph_burst_score_ch0,ph_burst_score_ch1,ph_burst_score_ch2,abs_x,abs_y,edge_frac,corner_frac,mean_x,mean_y,energy_avg,births,deaths,fertile_ticks,atk_emit,predation_events,recurrent_io,nn_dist_avg,density_avg,density_dev,dmg_avg,noise_avg,bonds_formed,bonds_broken,mean_bond_count,bond_active_frac,bond_signal_avg,adhesion_entropy,bond_stiff_avg,bond_damp_avg,state_avg,state_dev,altruist_frac,fov_avg,fov_dev,temp_avg,topt_avg,topt_dev,carnivore_avg,gain_vis_avg,gain_chem_avg,gain_def_avg,gain_vis_dev,gain_chem_dev,gain_def_dev,cppn_compat,shock_active_count,shock_hazard_intensity_max,shock_climate_offset,shock_food_factor,lineage_count,behavioral_entropy_attack,weight_diversity_w1_norm,spike_count_avg,spike_complexity_avg,spike_total_length_avg,ticks_per_sec,coop_food_solved,coop_food_failed,coop_food_arrivals_avg,bonded_attack_eff,swarm_attack_frac,pack_attack_frac,vib_emit_avg,vib_amp_avg,vib_grad_mag_avg,gain_mech_avg,gain_mech_dev,maze_active,maze_in_goal_frac,maze_unique_reach_frac,maze_first_reach_total
0,200,61.99,16.200,48.11,16.980,0.994,0.994,0.994,1.000,0.000,0.050,0.100,15950,1.000,200,0,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.502,0.500,0.195,0.010,-0.011,0.030,100.00,0,0,0,0.000,0,0.000,58.14,0.000,0.000,0.000,0.488,0,0,0.000,0.000,0.000,0.991,4.000,0.612,0.498,0.029,0.000,3.142,0.000,17.49,17.51,7.596,0.267,1.020,0.996,0.995,0.178,0.168,0.165,0.447,0,0.000,0.000,1.000,200,0.000,16.398,1.000,0.000,0.050,0.0,0,0,0.000,0.000,0.000,0.000,1.0000,0.0000,0.0000,1.004,0.182,0,0.0000,0.0000,0
1,197,62.40,16.514,46.05,17.327,1.080,1.118,1.071,0.951,0.158,0.192,0.600,15951,1.019,176,1,0.404,0.410,0.414,0.4841,0.4818,0.4796,0.1791,0.1488,0.1449,0.441,0.494,0.157,0.015,-0.017,-0.012,95.53,21,24,2363,0.422,12,0.481,54.23,0.000,0.000,0.000,0.513,0,0,0.000,0.000,0.415,0.985,4.003,0.617,0.500,0.029,0.000,3.138,0.018,15.18,17.42,7.576,0.257,1.020,0.994,0.998,0.172,0.165,0.164,0.426,0,0.000,0.000,1.000,176,1.811,61.096,1.000,0.001,0.192,183.7,0,18,0.167,0.000,0.000,0.000,1.2156,0.0140,0.0003,1.007,0.189,0,0.0000,0.0000,0
2,319,65.61,16.436,43.25,19.114,1.099,1.156,1.096,0.930,0.250,0.247,1.099,16071,1.037,128,2,0.593,0.603,0.607,0.4732,0.4734,0.4733,0.0778,0.0745,0.0748,0.426,0.483,0.119,0.009,0.017,-0.128,107.84,174,52,6112,0.613,58,0.496,41.44,0.000,0.000,0.000,0.524,1,0,0.006,0.006,0.608,0.930,3.751,0.626,0.503,0.037,0.003,3.110,0.055,12.64,16.51,8.006,0.242,1.040,0.974,0.950,0.145,0.163,0.166,0.462,0,0.000,0.000,1.000,128,1.574,184.483,1.006,0.009,0.250,167.3,0,11,0.364,0.000,0.000,0.000,1.2898,0.0268,0.0008,0.978,0.191,0,0.0000,0.0000,0
3,919,71.91,18.819,36.78,20.585,1.222,1.206,1.237,1.018,0.228,0.268,1.598,11621,1.055,77,3,0.778,0.781,0.781,0.4002,0.4024,0.4008,0.0362,0.0363,0.0366,0.408,0.472,0.133,0.005,0.011,0.038,108.91,769,169,8448,0.794,575,0.526,26.35,0.000,0.000,0.000,0.515,72,59,0.061,0.048,0.785,0.819,3.408,0.628,0.503,0.044,0.012,3.063,0.079,14.60,15.49,8.240,0.204,1.021,0.962,0.874,0.153,0.164,0.160,0.637,0,0.000,0.000,1.000,77,1.109,195.301,1.034,0.023,0.280,149.7,0,17,0.235,0.000,0.000,0.000,1.3771,0.0328,0.0008,0.993,0.174,0,0.0000,0.0000,0
4,976,75.07,19.777,37.17,19.732,1.378,1.279,1.351,1.084,0.241,0.361,1.919,8911,1.072,48,4,0.762,0.751,0.749,0.4200,0.4273,0.4275,0.0963,0.0989,0.0989,0.493,0.502,0.186,0.010,0.023,0.035,99.09,587,530,8272,0.773,1908,0.529,26.59,0.000,0.000,0.000,0.483,197,183,0.141,0.108,0.757,0.888,3.202,0.555,0.503,0.049,0.029,3.044,0.091,17.11,15.67,7.933,0.179,1.053,0.956,0.841,0.174,0.144,0.169,0.608,0,0.000,0.000,1.000,48,1.125,165.449,1.065,0.028,0.379,146.8,3,11,1.429,0.000,0.000,0.000,1.2699,0.0268,0.0005,0.965,0.158,0,0.0000,0.0000,0
5,684,76.48,21.538,35.74,18.557,1.417,1.335,1.394,1.058,0.286,0.389,1.788,8919,1.088,25,5,0.727,0.696,0.689,0.4351,0.4498,0.4533,0.1344,0.1346,0.1346,0.446,0.500,0.162,0.003,-0.019,0.021,105.65,288,580,7343,0.727,1549,0.524,32.53,0.000,0.000,0.000,0.501,108,139,0.140,0.111,0.703,0.948,2.960,0.521,0.505,0.051,0.034,3.036,0.101,16.85,15.88,7.769,0.157,1.057,0.969,0.810,0.164,0.149,0.174,0.563,0,0.000,0.000,1.000,25,1.258,172.270,1.020,0.027,0.413,160.2,1,11,0.750,0.000,0.000,0.000,1.1914,0.0210,0.0004,0.944,0.163,0,0.0000,0.0000,0
6,601,83.05,21.688,32.68,16.744,1.369,1.310,1.361,1.040,0.324,0.353,2.000,8717,1.103,18,6,0.709,0.715,0.712,0.4459,0.4425,0.4436,0.0978,0.0962,0.0961,0.469,0.515,0.190,0.008,0.079,-0.049,107.66,317,400,8334,0.718,757,0.525,34.67,0.000,0.000,0.000,0.522,23,64,0.040,0.037,0.720,0.983,2.917,0.500,0.506,0.047,0.025,3.024,0.107,17.26,16.27,7.162,0.151,1.089,0.994,0.803,0.153,0.145,0.197,0.537,0,0.000,0.000,1.000,18,1.246,193.514,1.033,0.026,0.379,166.7,1,11,0.750,0.000,0.000,0.000,1.2328,0.0202,0.0004,0.899,0.180,0,0.0000,0.0000,0
7,642,89.78,19.661,28.79,16.403,1.376,1.286,1.306,1.067,0.317,0.327,2.000,7789,1.116,15,7,0.756,0.742,0.737,0.4213,0.4282,0.4316,0.0791,0.0801,0.0800,0.480,0.506,0.178,0.012,0.004,-0.006,100.16,389,348,8618,0.755,848,0.530,33.08,0.000,0.000,0.000,0.499,26,30,0.028,0.026,0.746,0.984,3.241,0.467,0.502,0.043,0.003,3.016,0.110,17.73,16.06,7.339,0.161,1.094,1.023,0.842,0.143,0.148,0.204,0.475,0,0.000,0.000,1.000,15,1.147,182.402,1.093,0.036,0.363,170.5,1,13,0.571,0.000,0.000,0.000,1.2768,0.0218,0.0005,0.881,0.198,0,0.0000,0.0000,0
8,559,90.71,19.254,26.18,16.482,1.428,1.308,1.326,1.088,0.325,0.332,1.872,7595,1.127,13,8,0.776,0.760,0.749,0.4098,0.4204,0.4270,0.0697,0.0693,0.0695,0.539,0.524,0.200,0.016,-0.027,-0.001,98.48,306,389,8259,0.784,756,0.534,34.95,0.000,0.000,0.000,0.509,29,23,0.054,0.048,0.763,0.952,3.335,0.443,0.500,0.042,0.005,3.000,0.124,16.94,15.13,7.703,0.153,1.122,1.042,0.847,0.150,0.156,0.217,0.501,0,0.000,0.000,1.000,13,1.042,187.673,1.191,0.035,0.399,175.5,0,15,0.400,0.000,0.000,0.000,1.2722,0.0217,0.0005,0.853,0.199,0,0.0000,0.0000,0
9,503,91.67,17.116,24.13,15.393,1.469,1.350,1.362,1.087,0.328,0.326,2.000,7895,1.136,11,9,0.790,0.753,0.738,0.3965,0.4214,0.4292,0.0557,0.0545,0.0549,0.472,0.506,0.179,0.010,0.001,-0.003,94.59,265,321,8172,0.800,714,0.532,38.47,0.000,0.000,0.000,0.499,41,36,0.083,0.066,0.765,0.935,3.265,0.441,0.505,0.046,0.014,3.001,0.128,17.83,14.61,7.741,0.137,1.124,1.090,0.808,0.159,0.166,0.220,0.460,0,0.000,0.000,1.000,11,1.018,213.487,1.141,0.036,0.403,179.6,0,13,0.308,0.000,0.000,0.000,1.2703,0.0203,0.0005,0.805,0.219,0,0.0000,0.0000,0
