gen,cells,spd_avg,spd_dev,vis_avg,vis_dev,len_avg,wid_avg,hgt_avg,asp_avg,asp_dev,spk_avg,spk_max,food,density,lineages,oldest,ph_emit,abs_x,abs_y,edge_frac,corner_frac,mean_x,mean_y,energy_avg,births,deaths,fertile_ticks,atk_emit,predation_events,recurrent_io,nn_dist_avg,density_avg,density_dev,dmg_avg,noise_avg,bonds_formed,bonds_broken,mean_bond_count,bond_active_frac,bond_signal_avg,adhesion_entropy,bond_stiff_avg,bond_damp_avg,hunter_attacks,hunters_alive,immune_frac,state_avg,state_dev,altruist_frac,fov_avg,fov_dev,temp_avg,topt_avg,topt_dev,hunter_births,hunter_deaths,h_spd_avg,h_vis_avg,h_fov_avg,h_dmg_avg,h_size_avg,carnivore_avg,exposure_avg,gain_vis_avg,gain_chem_avg,gain_def_avg
0,200,58.64,17.628,49.77,16.956,0.993,0.993,0.993,1.000,0.000,0.050,0.100,19938,1.000,200,0,0.000,0.471,0.537,0.190,0.010,0.068,-0.006,100.00,0,0,0,0.000,0,0.000,49.37,0.000,0.000,0.000,0.487,0,0,0.000,0.000,0.000,0.998,4.007,0.593,0,12,0.000,0.502,0.027,0.000,3.142,0.000,17.19,16.52,7.571,0,0,299.81,199.98,1.457,8.479,1.193,0.229,1.000,0.995,0.991,1.024
1,400,60.87,16.351,50.81,17.265,1.070,1.091,1.070,1.002,0.292,0.117,0.557,19761,1.019,177,1,0.587,0.464,0.500,0.177,0.000,0.158,0.017,101.57,224,24,5333,0.433,81,0.445,28.03,0.442,0.372,0.001,0.547,36,45,0.068,0.048,0.651,0.989,4.170,0.596,184,12,0.003,0.407,0.450,0.367,3.121,0.038,13.88,16.88,7.119,0,0,299.81,199.98,1.457,8.479,1.193,0.208,0.974,1.001,0.977,1.044
2,962,65.57,14.526,50.30,16.854,1.081,1.129,1.183,1.005,0.391,0.161,1.041,16398,1.037,122,2,0.637,0.423,0.492,0.120,0.003,0.201,0.059,86.77,787,225,7094,0.407,741,0.454,15.99,0.705,0.417,0.001,0.531,995,1725,0.220,0.121,0.623,0.973,4.321,0.616,287,12,0.010,0.195,0.382,0.180,3.074,0.080,15.24,16.57,7.554,0,0,299.81,199.98,1.457,8.479,1.193,0.200,0.923,1.044,0.986,0.987
3,1127,67.23,14.596,54.38,18.568,1.162,1.178,1.227,1.060,0.483,0.186,1.539,12568,1.055,85,3,0.642,0.431,0.448,0.136,0.009,0.038,0.004,83.47,778,613,8585,0.472,2496,0.457,15.52,0.797,0.441,0.013,0.490,1514,2708,0.273,0.154,0.623,0.979,4.209,0.629,287,12,0.016,0.283,0.438,0.273,3.057,0.090,15.83,16.75,6.965,0,0,299.81,199.98,1.457,8.479,1.193,0.208,0.905,1.080,0.946,1.006
4,995,65.25,14.784,56.05,19.451,1.252,1.246,1.304,1.104,0.559,0.214,2.000,10003,1.072,66,4,0.667,0.512,0.474,0.182,0.001,-0.029,-0.062,90.19,604,736,8273,0.517,2688,0.462,17.07,0.725,0.437,0.010,0.490,1145,2127,0.201,0.136,0.643,0.980,4.309,0.643,366,12,0.003,0.241,0.414,0.229,3.048,0.102,16.01,17.91,6.403,0,0,299.81,199.98,1.457,8.479,1.193,0.196,0.924,1.055,0.917,1.032
5,891,65.37,14.027,55.52,21.021,1.317,1.309,1.360,1.127,0.646,0.233,2.000,8469,1.088,52,5,0.679,0.506,0.460,0.172,0.008,-0.019,-0.037,97.01,531,635,7996,0.461,3230,0.468,17.55,0.687,0.426,0.011,0.497,759,1328,0.220,0.132,0.644,0.980,4.168,0.634,329,12,0.013,0.181,0.374,0.172,3.039,0.103,15.97,18.18,6.543,0,0,299.81,199.98,1.457,8.479,1.193,0.174,0.924,1.047,0.917,1.099
6,786,64.69,15.552,52.77,21.939,1.427,1.303,1.383,1.250,0.750,0.258,2.000,7661,1.103,46,6,0.691,0.510,0.499,0.218,0.025,0.014,0.028,99.57,410,515,8489,0.459,2168,0.469,19.68,0.644,0.446,0.005,0.495,648,1188,0.205,0.132,0.676,0.960,4.096,0.606,185,10,0.004,0.132,0.330,0.126,3.025,0.116,16.09,18.17,7.112,0,2,293.58,211.61,1.422,8.463,1.170,0.173,0.923,1.059,0.912,1.121
7,686,68.54,17.320,53.24,20.722,1.524,1.298,1.370,1.362,0.812,0.259,2.000,7239,1.116,34,7,0.713,0.469,0.481,0.169,0.000,0.046,-0.012,103.84,405,505,8655,0.442,1882,0.467,20.08,0.593,0.422,0.005,0.504,459,804,0.184,0.120,0.688,0.977,4.071,0.580,212,8,0.007,0.153,0.343,0.144,3.024,0.113,15.69,17.35,7.266,0,2,289.68,217.63,1.429,9.008,1.112,0.164,0.932,1.047,0.922,1.142
8,579,71.80,18.633,50.37,22.222,1.604,1.338,1.407,1.401,0.847,0.289,2.000,7443,1.127,31,8,0.699,0.448,0.471,0.136,0.007,-0.033,0.057,108.82,312,419,7591,0.440,2027,0.470,22.17,0.548,0.424,0.008,0.512,539,976,0.192,0.142,0.656,0.982,4.153,0.564,160,7,0.002,0.190,0.378,0.180,3.012,0.125,16.29,16.33,7.302,0,1,295.58,210.52,1.556,9.508,1.152,0.155,0.924,1.032,0.933,1.116
9,650,75.62,17.296,47.44,21.431,1.581,1.325,1.428,1.400,0.879,0.268,2.000,6697,1.136,29,9,0.734,0.477,0.500,0.160,0.011,0.003,-0.077,108.89,425,354,7810,0.470,1716,0.475,22.20,0.525,0.415,0.012,0.517,437,739,0.214,0.131,0.636,0.985,4.232,0.577,235,7,0.003,0.160,0.349,0.152,3.007,0.134,15.32,15.83,7.450,1,1,305.28,199.60,1.731,10.051,1.218,0.142,0.920,0.985,0.972,1.100
10,706,75.55,17.986,48.47,22.166,1.607,1.293,1.437,1.441,0.847,0.234,2.000,5787,1.143,26,10,0.782,0.501,0.501,0.205,0.007,0.013,-0.000,101.71,470,414,8728,0.508,2564,0.476,21.19,0.530,0.398,0.005,0.517,610,1051,0.197,0.139,0.650,0.981,4.132,0.582,315,7,0.007,0.111,0.305,0.103,3.001,0.147,15.46,16.13,7.589,0,0,305.28,199.60,1.731,10.051,1.218,0.127,0.925,0.981,0.987,1.108
